,Account,Date,Transaction type,Num,Name,Memo/Description,Account full name,Account,Amount,Balance
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-449,,Trumbull MSS-EDR,2800 Deferred Revenue,,"-$1,728.33","$942,234.12"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-450,,Altarum NWGMAN,2800 Deferred Revenue,,"-$1,979.17","$940,254.95"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-451,,IHA NWG Monitor,2800 Deferred Revenue,,"-$4,166.67","$936,088.28"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-452,,Emergent Health MSS-VM,2800 Deferred Revenue,,"-$1,603.33","$934,484.95"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-453,,Harmony Healtcare MSS-FW Cisco,2800 Deferred Revenue,,"-$1,716.67","$932,768.28"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-454,,Hubbard MSS-EDR (annual),2800 Deferred Revenue,,-$593.75,"$932,174.53"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-456,,PSM MSS-VM,2800 Deferred Revenue,,-$675.00,"$931,499.53"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-457,,Escalent MSS-VMP,2800 Deferred Revenue,,"-$1,375.00","$930,124.53"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-458,,Trumbull MSS-FW,2800 Deferred Revenue,,"-$1,785.00","$928,339.53"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-459,,Harmony Healtcare MSS-FW Palo Alto,2800 Deferred Revenue,,"-$3,776.61","$924,562.92"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-460,,Nat Mach MSS-FW (F),2800 Deferred Revenue,,"-$2,166.67","$922,396.25"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-461,,Nat Mach MSS-VM,2800 Deferred Revenue,,"-$2,592.17","$919,804.08"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-462,,Masco NWG Mon,2800 Deferred Revenue,,"-$6,704.17","$913,099.91"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-463,,Edcor MSS-WLAN,2800 Deferred Revenue,,-$333.33,"$912,766.58"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-464,,Emergent Health MSS-EDR,2800 Deferred Revenue,,"-$2,800.00","$909,966.58"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-465,,PSM MSS-FW,2800 Deferred Revenue,,-$429.17,"$909,537.41"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-466,,WHS MSS-MSS,2800 Deferred Revenue,,"-$4,532.00","$905,005.41"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-467,,Zausmer MSS,2800 Deferred Revenue,,"-$1,390.50","$903,614.91"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-468,,WHS MSS-EDR,2800 Deferred Revenue,,"-$11,380.47","$892,234.44"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-469,,Trumbull MSS-PRLD,2800 Deferred Revenue,,"-$2,805.00","$889,429.44"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-470,,WHS MSS-VM,2800 Deferred Revenue,,-$858.33,"$888,571.11"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-471,,Henniges MSS-VM,2800 Deferred Revenue,,"-$3,250.00","$885,321.11"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-472,,Nat Mach MSS-PLS,2800 Deferred Revenue,,-$500.00,"$884,821.11"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-481,,Flexible Plan MSS-FW,2800 Deferred Revenue,,"-$4,497.67","$880,323.44"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-629,,Halo NWG Monitor,2800 Deferred Revenue,,-$916.67,"$879,406.77"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-633,,Halo NWG Manage,2800 Deferred Revenue,,"-$9,572.92","$869,833.85"
,2800 Deferred Revenue,01/01/2024,Journal Entry,LK-22-637,,Halo NWG Advise,2800 Deferred Revenue,,"-$2,500.00","$867,333.85"
,2800 Deferred Revenue,01/02/2024,Invoice,1936,Halo Branded Solutions,"Asset discovery, network monitoring, alerting, and management tool",2800 Deferred Revenue,Accounts Receivable,"$11,000.00","$878,333.85"
,2800 Deferred Revenue,01/05/2024,Journal Entry,LK-22-383R,,JE to Defer Park Place EH Rev from Nov,2800 Deferred Revenue,,"-$20,000.00","$858,333.85"
,2800 Deferred Revenue,01/10/2024,Journal Entry,LK-22-476,,Hubbard MSS KnowBe4 Training,2800 Deferred Revenue,,-$232.30,"$858,101.55"
,2800 Deferred Revenue,01/10/2024,Journal Entry,LK-22-365R,,JE to Defer Henniges EH Rev from Nov,2800 Deferred Revenue,,"-$24,100.00","$834,001.55"
,2800 Deferred Revenue,01/23/2024,Invoice,1948,"BUSINESS INTERACTIONS, LLC",Managed services For Pulse Virtual,2800 Deferred Revenue,Accounts Receivable,"$3,090.00","$837,091.55"
,2800 Deferred Revenue,01/23/2024,Invoice,1949,"BUSINESS INTERACTIONS, LLC",Managed services for Pulse Virtual,2800 Deferred Revenue,Accounts Receivable,"$3,090.00","$840,181.55"
,2800 Deferred Revenue,01/23/2024,Journal Entry,LK-22-482,,Flexible Plan MSS-FW one time reversal to def rev,2800 Deferred Revenue,,"$53,972.00","$894,153.55"
,2800 Deferred Revenue,01/24/2024,Invoice,1951,Halo Branded Solutions,Executive and expert-level networking and security advisory service - ongoing,2800 Deferred Revenue,Accounts Receivable,"$30,000.00","$924,153.55"
,2800 Deferred Revenue,01/24/2024,Invoice,1951,Halo Branded Solutions,On Premise Infrastructure Up to 48 devices,2800 Deferred Revenue,Accounts Receivable,"$114,875.00","$1,039,028.55"
,2800 Deferred Revenue,01/29/2024,Invoice,1955,PRODUCTION SAW AND MACHINE CO,Managed vulnerability management program,2800 Deferred Revenue,Accounts Receivable,"$8,343.00","$1,047,371.55"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-484,,Zingermans MSS-FW PA460,2800 Deferred Revenue,,-$550.00,"$1,046,821.55"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-485,,Edcor NWG-FW,2800 Deferred Revenue,,-$944.17,"$1,045,877.38"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-486,,WHS MSS-Monitor,2800 Deferred Revenue,,"-$4,166.67","$1,041,710.71"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-487,,GT MSS-FW,2800 Deferred Revenue,,"-$2,766.75","$1,038,943.96"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-487,,GT MSS-EDR,2800 Deferred Revenue,,"-$3,257.09","$1,035,686.87"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-487,,GT MSS-VM,2800 Deferred Revenue,,"-$1,085.00","$1,034,601.87"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-487,,GT-MSS-SSL,2800 Deferred Revenue,,-$279.00,"$1,034,322.87"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-487,,GT-MSS-NWGM,2800 Deferred Revenue,,-$465.00,"$1,033,857.87"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-487,,GT-MSS-FWR,2800 Deferred Revenue,,"-$1,240.00","$1,032,617.87"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-487,,GT-MSS-VPN,2800 Deferred Revenue,,-$232.50,"$1,032,385.37"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-490,,Harmony NWG Manage (Pulse),2800 Deferred Revenue,,-$257.50,"$1,032,127.87"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-491,,Escalent MSS-NWGMAN,2800 Deferred Revenue,,"-$10,920.00","$1,021,207.87"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-492,,Escalent MSS-VMP,2800 Deferred Revenue,,"-$1,375.00","$1,019,832.87"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-493,,Zingermans MSS-PLS,2800 Deferred Revenue,,-$550.00,"$1,019,282.87"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-494,,Nat Mach MSS-FW (PA),2800 Deferred Revenue,,"-$1,016.67","$1,018,266.20"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-495,,Akumin NWGMAN,2800 Deferred Revenue,,"-$22,916.67","$995,349.53"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-496,,Escalent MSS-ADV,2800 Deferred Revenue,,"-$4,166.67","$991,182.86"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-497,,Hubbard MSS-MBS,2800 Deferred Revenue,,-$550.00,"$990,632.86"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-499,,Trumbull MSS-PRLD,2800 Deferred Revenue,,"-$2,805.00","$987,827.86"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-500,,Trumbull MSS-EDR,2800 Deferred Revenue,,"-$1,728.33","$986,099.53"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-501,,Altarum NWGMAN,2800 Deferred Revenue,,"-$1,979.17","$984,120.36"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-502,,IHA NWG Monitor,2800 Deferred Revenue,,"-$4,166.67","$979,953.69"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-503,,Emergent Health MSS-VM,2800 Deferred Revenue,,"-$1,603.33","$978,350.36"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-504,,Harmony Healtcare MSS-FW Cisco,2800 Deferred Revenue,,"-$1,716.67","$976,633.69"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-505,,Hubbard MSS-EDR (annual),2800 Deferred Revenue,,-$593.75,"$976,039.94"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-507,,Escalent MSS-VMP,2800 Deferred Revenue,,"-$1,375.00","$974,664.94"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-508,,Trumbull MSS-FW,2800 Deferred Revenue,,"-$1,785.00","$972,879.94"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-509,,Flexible Plan MSS-FW,2800 Deferred Revenue,,"-$4,497.67","$968,382.27"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-510,,Harmony Healtcare MSS-FW Palo Alto,2800 Deferred Revenue,,"-$3,776.61","$964,605.66"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-511,,Nat Mach MSS-FW (F),2800 Deferred Revenue,,"-$2,166.67","$962,438.99"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-512,,Nat Mach MSS-PLS,2800 Deferred Revenue,,-$500.00,"$961,938.99"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-513,,Henniges MSS-VM,2800 Deferred Revenue,,"-$3,250.00","$958,688.99"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-514,,Nat Mach MSS-VM,2800 Deferred Revenue,,"-$2,592.17","$956,096.82"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-515,,Masco NWG Mon,2800 Deferred Revenue,,"-$6,704.17","$949,392.65"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-516,,Edcor MSS-WLAN,2800 Deferred Revenue,,-$333.33,"$949,059.32"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-517,,Emergent Health MSS-EDR,2800 Deferred Revenue,,"-$2,800.00","$946,259.32"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-518,,PSM MSS-FW,2800 Deferred Revenue,,-$429.17,"$945,830.15"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-519,,WHS MSS-MSS,2800 Deferred Revenue,,"-$4,532.00","$941,298.15"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-520,,Zausmer MSS,2800 Deferred Revenue,,"-$1,390.50","$939,907.65"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-521,,WHS MSS-EDR,2800 Deferred Revenue,,"-$11,380.47","$928,527.18"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-522,,WHS MSS-VM,2800 Deferred Revenue,,-$858.33,"$927,668.85"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-578,,PSM MSS-VM,2800 Deferred Revenue,,-$695.25,"$926,973.60"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-630,,Halo NWG Monitor,2800 Deferred Revenue,,-$916.67,"$926,056.93"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-634,,Halo NWG Manage,2800 Deferred Revenue,,"-$9,572.92","$916,484.01"
,2800 Deferred Revenue,02/01/2024,Journal Entry,LK-22-638,,Halo NWG Advise,2800 Deferred Revenue,,"-$2,500.00","$913,984.01"
,2800 Deferred Revenue,02/09/2024,Invoice,1970,ZINGERMANS ZSN,Managed services for 1 device,2800 Deferred Revenue,Accounts Receivable,"$3,600.00","$917,584.01"
,2800 Deferred Revenue,02/10/2024,Journal Entry,LK-22-526,,Hubbard MSS KnowBe4 Training,2800 Deferred Revenue,,-$232.30,"$917,351.71"
,2800 Deferred Revenue,02/15/2024,Invoice,1971,FLEXIBLE PLAN INVESTMENTS,"Managed services - up to 5 firewalls, 13 switches, and Blumira services",2800 Deferred Revenue,Accounts Receivable,"$1,600.00","$918,951.71"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-530,,Zingermans MSS-FW PA460,2800 Deferred Revenue,,-$550.00,"$918,401.71"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-531,,Edcor NWG-FW,2800 Deferred Revenue,,-$944.17,"$917,457.54"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-532,,WHS MSS-Monitor,2800 Deferred Revenue,,"-$4,166.67","$913,290.87"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-533,,GT MSS-FW,2800 Deferred Revenue,,"-$2,766.75","$910,524.12"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-533,,GT MSS-EDR,2800 Deferred Revenue,,"-$3,257.09","$907,267.03"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-533,,GT MSS-VM,2800 Deferred Revenue,,"-$1,085.00","$906,182.03"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-533,,GT-MSS-SSL,2800 Deferred Revenue,,-$279.00,"$905,903.03"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-533,,GT-MSS-NWGM,2800 Deferred Revenue,,-$465.00,"$905,438.03"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-533,,GT-MSS-FWR,2800 Deferred Revenue,,"-$1,240.00","$904,198.03"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-533,,GT-MSS-VPN,2800 Deferred Revenue,,-$232.50,"$903,965.53"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-536,,Harmony NWG Manage (Pulse),2800 Deferred Revenue,,-$257.50,"$903,708.03"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-537,,Escalent MSS-NWGMAN,2800 Deferred Revenue,,"-$10,920.00","$892,788.03"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-538,,Escalent MSS-VMP,2800 Deferred Revenue,,"-$1,375.00","$891,413.03"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-539,,Zingermans MSS-PLS,2800 Deferred Revenue,,-$550.00,"$890,863.03"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-540,,Akumin NWGMAN,2800 Deferred Revenue,,"-$22,916.67","$867,946.36"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-541,,Escalent MSS-ADV,2800 Deferred Revenue,,"-$4,166.67","$863,779.69"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-542,,Hubbard MSS-MBS,2800 Deferred Revenue,,-$550.00,"$863,229.69"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-544,,Nat Mach MSS-FW (PA),2800 Deferred Revenue,,"-$1,016.67","$862,213.02"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-545,,Trumbull MSS-EDR,2800 Deferred Revenue,,"-$1,780.00","$860,433.02"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-546,,Altarum NWGMAN,2800 Deferred Revenue,,"-$1,979.17","$858,453.85"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-547,,Emergent Health MSS-VM,2800 Deferred Revenue,,"-$1,603.33","$856,850.52"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-548,,IHA NWG Monitor,2800 Deferred Revenue,,"-$4,166.67","$852,683.85"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-549,,Harmony Healtcare MSS-FW Cisco,2800 Deferred Revenue,,"-$1,716.67","$850,967.18"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-550,,Hubbard MSS-EDR (annual),2800 Deferred Revenue,,-$593.75,"$850,373.43"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-552,,Escalent MSS-VMP,2800 Deferred Revenue,,"-$1,375.00","$848,998.43"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-553,,Trumbull MSS-FW,2800 Deferred Revenue,,"-$1,785.00","$847,213.43"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-554,,Flexible Plan MSS-FW,2800 Deferred Revenue,,"-$4,497.67","$842,715.76"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-555,,Harmony Healtcare MSS-FW Palo Alto,2800 Deferred Revenue,,"-$3,776.61","$838,939.15"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-556,,Nat Mach MSS-FW (F),2800 Deferred Revenue,,"-$2,166.67","$836,772.48"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-557,,Nat Mach MSS-PLS,2800 Deferred Revenue,,-$500.00,"$836,272.48"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-558,,Henniges MSS-VM,2800 Deferred Revenue,,"-$3,250.00","$833,022.48"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-559,,Nat Mach MSS-VM,2800 Deferred Revenue,,"-$2,592.17","$830,430.31"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-560,,Masco NWG Mon,2800 Deferred Revenue,,"-$6,704.17","$823,726.14"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-561,,Edcor MSS-WLAN,2800 Deferred Revenue,,-$333.33,"$823,392.81"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-562,,Emergent Health MSS-EDR,2800 Deferred Revenue,,"-$2,800.00","$820,592.81"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-563,,PSM MSS-FW,2800 Deferred Revenue,,-$429.17,"$820,163.64"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-564,,WHS MSS-MSS,2800 Deferred Revenue,,"-$4,532.00","$815,631.64"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-565,,Zausmer MSS,2800 Deferred Revenue,,"-$1,390.50","$814,241.14"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-566,,WHS MSS-EDR,2800 Deferred Revenue,,"-$11,380.47","$802,860.67"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-567,,Trumbull MSS-PRLD,2800 Deferred Revenue,,"-$2,805.00","$800,055.67"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-568,,WHS MSS-VM,2800 Deferred Revenue,,-$858.33,"$799,197.34"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-579,,PSM MSS-VM,2800 Deferred Revenue,,-$695.25,"$798,502.09"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-631,,Halo NWG Monitor,2800 Deferred Revenue,,-$916.67,"$797,585.42"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-635,,Halo NWG Manage,2800 Deferred Revenue,,"-$9,572.92","$788,012.50"
,2800 Deferred Revenue,03/01/2024,Journal Entry,LK-22-639,,Halo NWG Advise,2800 Deferred Revenue,,"-$2,500.00","$785,512.50"
,2800 Deferred Revenue,03/10/2024,Journal Entry,LK-22-571,,Hubbard MSS KnowBe4 Training,2800 Deferred Revenue,,-$232.30,"$785,280.20"
,2800 Deferred Revenue,03/12/2024,Invoice,1996,"NATIONAL MACHINERY, LLC",Managed services,2800 Deferred Revenue,Accounts Receivable,"$12,200.00","$797,480.20"
,2800 Deferred Revenue,03/12/2024,Invoice,1996,"NATIONAL MACHINERY, LLC",Managed services,2800 Deferred Revenue,Accounts Receivable,"$26,000.00","$823,480.20"
,2800 Deferred Revenue,03/12/2024,Invoice,1997,"NATIONAL MACHINERY, LLC",Managed services - Pulse Secure,2800 Deferred Revenue,Accounts Receivable,"$6,000.00","$829,480.20"
,2800 Deferred Revenue,03/26/2024,Invoice,2005,ZINGERMANS,"Managed services for HA Firewall Pair
4/1/24-3/31/25",2800 Deferred Revenue,Accounts Receivable,"$6,600.00","$836,080.20"
,2800 Deferred Revenue,03/26/2024,Invoice,2006,"TRUMBULL INDUSTRIES, INC",Managed endpoint detection and response,2800 Deferred Revenue,Accounts Receivable,"$21,360.00","$857,440.20"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-581,,Zingermans MSS-FW PA460,2800 Deferred Revenue,,-$550.00,"$856,890.20"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-582,,Edcor NWG-FW,2800 Deferred Revenue,,-$944.17,"$855,946.03"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-583,,WHS MSS-Monitor,2800 Deferred Revenue,,"-$4,166.67","$851,779.36"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-584,,GT MSS-FW,2800 Deferred Revenue,,"-$2,766.75","$849,012.61"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-584,,GT MSS-EDR,2800 Deferred Revenue,,"-$3,257.09","$845,755.52"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-584,,GT MSS-VM,2800 Deferred Revenue,,"-$1,085.00","$844,670.52"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-584,,GT-MSS-SSL,2800 Deferred Revenue,,-$279.00,"$844,391.52"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-584,,GT-MSS-NWGM,2800 Deferred Revenue,,-$465.00,"$843,926.52"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-584,,GT-MSS-FWR,2800 Deferred Revenue,,"-$1,240.00","$842,686.52"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-584,,GT-MSS-VPN,2800 Deferred Revenue,,-$232.50,"$842,454.02"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-587,,Harmony NWG Manage (Pulse),2800 Deferred Revenue,,-$257.50,"$842,196.52"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-588,,Escalent MSS-NWGMAN,2800 Deferred Revenue,,"-$10,920.00","$831,276.52"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-589,,Escalent MSS-VMP,2800 Deferred Revenue,,"-$1,375.00","$829,901.52"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-590,,Zingermans MSS-PLS,2800 Deferred Revenue,,-$550.00,"$829,351.52"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-591,,Akumin NWGMAN,2800 Deferred Revenue,,"-$22,916.67","$806,434.85"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-592,,Escalent MSS-ADV,2800 Deferred Revenue,,"-$4,166.67","$802,268.18"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-593,,Hubbard MSS-MBS,2800 Deferred Revenue,,-$550.00,"$801,718.18"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-594,,Nat Mach MSS-FW (PA),2800 Deferred Revenue,,"-$1,016.67","$800,701.51"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-595,,Altarum NWGMAN,2800 Deferred Revenue,,"-$1,979.17","$798,722.34"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-597,,IHA NWG Monitor,2800 Deferred Revenue,,"-$4,166.67","$794,555.67"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-598,,Emergent Health MSS-VM,2800 Deferred Revenue,,"-$1,603.33","$792,952.34"
,2800 Deferred Revenue,04/01/2024,Journal Entry,LK-22-599,,Harmony Healtcare MSS-FW Cisco,2800 Deferred Revenue,,"-$1,716.67","$791,235.67"
